Source	Target	Weight
Shani	Dandelion	8
Shani	Two	1
Dandelion	King	3
Dandelion	Ori	2
Ori	Philippa	2
Rience	Philippa	6
Philippa	Dandelion	8
Dandelion	Philippa	15
Philippa	Ori	1
Philippa	Rience	7
Ori	Rience	3
Philippa	Geralt	9
Geralt	Philippa	10
Rience	King	1
King	Philippa	1
Philippa	Yennefer	1
Yennefer	Philippa	6
Ori	Dandelion	2
Geralt	Shani	7
Shani	Geralt	4
Yennefer	Shani	1
Shani	Philippa	3
King	Foltest	1
Foltest	Meve	1
Meve	Henselt	4
Henselt	Ethain	1
Henselt	Crach	1
Ethain	Crach	1
Ethain	Henselt	1
Crach	Henselt	1
Crach	Emhyr	1
Henselt	Emhyr	1
Henselt	Foltest	1
Ithlinne	Emhyr	2
Emhyr	Foltest	1
Henselt	Meve	2
Calanthe	Crach	3
Crach	Foltest	1
Foltest	Henselt	1
Vilgefortz	Emhyr	1
Vilgefortz	Vissegerd	1
Emhyr	Vissegerd	1
Vissegerd	Foltest	3
Vissegerd	Calanthe	3
Foltest	Vissegerd	4
Foltest	Calanthe	2
Calanthe	Foltest	3
Calanthe	Vissegerd	1
Calanthe	Meve	2
Vissegerd	Meve	2
Ekkehard	Venzlav	1
Venzlav	Foltest	1
King	Meve	2
King	Calanthe	1
Meve	Calanthe	1
Meve	Pavetta	1
Meve	Foltest	1
Calanthe	Pavetta	1
Pavetta	Foltest	2
Foltest	Rience	1
Vissegerd	Rience	1
Rience	Calanthe	1
Rience	Foltest	1
Calanthe	Emhyr	2
Henselt	Vissegerd	1
Meve	Vissegerd	1
Foltest	Emhyr	1
Vissegerd	Emhyr	1
Emhyr	Meve	1
Rience	Windhalm	1
Philippa	Shani	1
Nenneke	Yennefer	13
Two	Rience	1
Shani	Little	1
Shani	Rience	1
Little	Rience	2
Artaud	Tissaia	5
Artaud	Vilgefortz	4
Tissaia	Vilgefortz	7
Vilgefortz	Tissaia	6
Tissaia	Lydia	7
Lydia	Tissaia	6
Lydia	Artaud	4
Tissaia	Artaud	3
Tissaia	Two	1
Artaud	Lydia	5
Artaud	Two	1
Lydia	Two	1
Two	Lydia	2
Two	Tissaia	1
Two	Artaud	1
Vilgefortz	Lydia	4
Lydia	Vilgefortz	4
Vilgefortz	Artaud	3
Aen	Tissaia	1
Aen	Vilgefortz	1
Aen	Yennefer	1
Tissaia	Yennefer	3
Vilgefortz	Yennefer	2
Yennefer	Vilgefortz	1
Yennefer	Lydia	1
Yennefer	Artaud	1
Tissaia	Geralt	1
Rience	Sword	1
Sword	Geralt	1
Triss	Philippa	4
Philippa	Ciri	4
Ciri	Shani	2
Tissaia	Iola	1
Iola	Ciri	8
Iola	Yennefer	3
Yennefer	Iola	1
Jarre	Ciri	16
Ciri	Jarre	8
Jarre	Yennefer	7
Jarre	Nenneke	1
Yennefer	Nenneke	12
Yennefer	Jarre	7
Jarre	Forest	1
Jarre	King	1
Jarre	Geralt	1
Iola	Nenneke	2
Ciri	Jan	1
Dandelion	Essi	1
Dandelion	Blue	1
Essi	Blue	1
Essi	Yennefer	1
Blue	Yennefer	1
Blue	Ciri	1
Geralt	Forest	2
Forest	Ciri	1
Crach	Calanthe	5
Crach	Ciri	2
Calanthe	Eist	1
Ciri	Eist	1
Ciri	Crach	2
Eist	Crach	2
Pavetta	Ciri	2
Yennefer	Ithlinne	1
Yennefer	Sword	1
Nenneke	Ithlinne	1
Nenneke	Sword	1
Ithlinne	Sword	1
Ithlinne	Yennefer	1
Ithlinne	Ciri	1
Sword	Yennefer	1
Sword	Ciri	1
Aplegatt	King	1
King	Aplegatt	2
Aplegatt	Meve	1
Aplegatt	Demavend	2
Aplegatt	Emhyr	1
Meve	Demavend	1
Meve	Emhyr	1
Demavend	Emhyr	1
Emhyr	Vissegerd	1
Vissegerd	Forest	1
Aplegatt	Ciri	2
